Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D8.0mm_H11.5mm_P3.50mm,1,220u,
C2,0603,1,1u,
"C3, C4",1206,2,10u,
C5,0603,1,6.8n,
"D1, D2, D3",0603,3,LED,
"F1, F10, F11, F12, F2, F3, F4, F5, F6, F7, F8, F9",1812,12,3A,
IC1,SOTFL50P160X60-8N,1,MP2393GTL-Z,
"J1, J2, J3, J5",TerminalBlock_bornier-3_P5.08mm,4,Conn_01x03_Socket,
J4,TerminalBlock_bornier-2_P5.08mm,1,Conn_01x02_Socket,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
L1,L_10.4x10.4_H4.8,1,4.9uH,
"Q1, Q11, Q3, Q5, Q7, Q9",TO-220-3_Horizontal_TabDown,6,IRLZ44NPBF,
"Q10, Q12, Q2, Q4, Q6, Q8",SOT-23,6,BC847,
R1,0603,1,20,
"R10, R13, R16, R19, R22, R7",0603,6,1M,
"R11, R12, R14, R15, R17, R18, R20, R21, R23, R6, R8, R9",0603,12,1k,
R2,0603,1,604k,
"R24, R25",0603,2,R,
R3,0603,1,40.2k,
R4,0603,1,15k,
R5,0603,1,7.68k,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
"SW2, SW3, SW4",SW_Cherry_MX_PCB_1.00u,3,SW_SPST,
U1,MODULE_ESP32-C3_SUPERMINI_TH,1,ESP32-C3_SUPERMINI_TH,
